realDonaldTrump_tweet,realDonaldTrump_date,JustinTrudeau_tweet,JustinTrudeau_date
"“Trump Stock Market rally is far outpacing past U.S. presidents” @CNBC With new trade deals, and more, THE BEST IS YET TO COME!",2019-12-27,"We’re releasing ministerial mandate letters today so you can follow our government’s priorities and track our progress. Each minister in Cabinet gets one, and it outlines their objectives & the challenges they will address. Learn more here:",2019-12-13
Speaker Pelosi and Chuck Schumer’s drive to try and rig the trial against the President is misplaced. There is no factual basis for the Articles of Impeachment that passed the House. This President will be exonerated.” William McGinley @foxandfriends,2019-12-27,On publie les lettres de mandat des ministres aujourd’hui afin que vous puissiez suivre les progrès qu’on réalise par rapport à nos priorités. Ces lettres décrivent les objectifs des membres du Conseil des ministres et les défis qui les attendent :,2019-12-13
"Thank you Kristy, have a great year!",2019-12-27,"Congratulations, @BorisJohnson. Let’s keep working together to address the issues that matter to people in both of our countries, and keep the Canada-UK friendship strong.",2019-12-13
"Academy Award winning actor (and great guy!) @jonvoight is fantastic in the role of Mickey Donovan in the big television hit, Ray Donovan. From Midnight Cowboy to Deliverance to The Champ (one of the best ever boxing movies), &amp; many others, Jon delivers BIG. Also, LOVES THE USA!",2019-12-27,"Félicitations, @BorisJohnson. Continuons à travailler ensemble pour faire avancer les dossiers qui importent à nos citoyens et maintenir les liens d’amitié solides entre le Canada et le Royaume-Uni.",2019-12-13
"“Democrats repeatedly claimed impeachment was an urgent matter, but now Nancy Pelosi uses stall tactics to obstruct the Senate.” @replouiegohmert @HeyTammyBruce @FoxNews It’s all part of the Impeachment Hoax!",2019-12-27,"Talking politics with this year’s @ParlInternship Programme interns. Keep up the hard work, and enjoy your time on the Hill!",2019-12-13
“Pelosi’s stall tactics expose the weakness of Democrat’s impeachment case.” @GreggJarrett @FoxNews,2019-12-27,Excellente discussion avec les stagiaires du programme @ParlInternship de cette année. Continuez à travailler fort et profitez de votre temps sur la Colline!,2019-12-13
Thank you Ritchie!,2019-12-27,"AI is changing how we work & live, and Canada’s scientists & researchers are leading the way. @NavdeepSBains and I met with @ChiefSciCan Dr. Mona Nemer today to talk about how we can make sure they keep innovating &amp; creating new technologies.",2019-12-13
The movie will never be the same! (just kidding),2019-12-27,"L’IA change la façon dont nous vivons et travaillons. Aujourd’hui, @NavdeepSBains et moi avons discuté avec la @SciChefCan Mona Nemer des moyens de faire en sorte que nos chercheurs et scientifiques puissent continuer à innover et à créer des technologies.",2019-12-13
I guess Justin T doesn’t much like my making him pay up on NATO or Trade!,2019-12-27,"Andrew, I wish you all the best in your next steps – in the House and beyond. On behalf of Canadians, thanks for your service and commitment to building a better future.",2019-12-12
"California leads the nation, by far, in both the number of homeless people, and the percentage increase in the homeless population - two terrible stats. Crazy Nancy should focus on that in her very down district, and helping her incompetent governor with the big homeless problem!",2019-12-26,"Andrew, je vous souhaite beaucoup de succès dans vos projets futurs – à la Chambre comme ailleurs. Au nom des Canadiens, merci pour votre travail et votre engagement à bâtir un avenir meilleur.",2019-12-12
"“Nancy Pelosi is trying to usurp the Constitutional role of the Senate. The longer this goes on, the more petty, partisan & political it all looks.” @KarlRove @FoxNews Just more of the same from the Do Nothing Dems. Nancy should be helping the record number of homeless in her D!",2019-12-26,"Today, we announce the dynamic & diverse team that will work with Cabinet ministers to make progress on the issues that matter most to you & your family. More on the MPs who will serve as parliamentary secretaries:",2019-12-12
"“Nasdaq Hits 9,000 for First Time Ever”",2019-12-26,On annonce aujourd'hui l'équipe dynamique et diversifiée qui travaillera avec le Conseil des ministres pour faire avancer les dossiers qui comptent le plus pour vous. Plus de détails sur les députés qui agiront à titre de secrétaires parlementaires :,2019-12-12
“Trump stock market rally is far outpacing past US presidents”,2019-12-26,"Deputy PM @cafreeland &amp; I had a good call with Canada’s premiers this afternoon, focused on how the amendments to the new NAFTA will benefit people &amp; businesses across our country. We also talked about the next steps for ratification &amp; implementation. http://bit.ly/2rCfAK4",2019-12-11
"Russia, Syria, and Iran are killing, or on their way to killing, thousands of innocent civilians in Idlib Province. Don’t do it! Turkey is working hard to stop this carnage.",2019-12-26,La vice-PM @cafreeland et moi avons eu un bon entretien avec les PM des provinces et territoires sur la façon dont les modifications au nouvel ALENA profiteront aux gens et entreprises du pays et sur le processus de ratification et de mise en œuvre. http://bit.ly/38tJ2SZ,2019-12-11
"Despite all of the great success that our Country has had over the last 3 years, it makes it much more difficult to deal with foreign leaders (and others) when I am having to constantly defend myself against the Do Nothing Democrats & their bogus Impeachment Scam. Bad for USA!",2019-12-26,"Yesterday, Deputy PM @cafreeland signed an agreement on amendments to the new NAFTA. This new agreement will preserve &amp; create jobs for people, help businesses grow, and protect the environment in all 3 countries. Get the details here: http://bit.ly/2sh1SfK",2019-12-11
"“Nancy Pelosi has no leverage over the Senate. Mitch McConnell did not nose his way into the impeachment process in the House, and she has no standing in the Senate.” Brad Blakeman. Crazy Nancy should clean up her filthy dirty District & help the homeless there. A primary for N?",2019-12-26,"Hier, la vice-PM @cafreeland a signé un accord sur les modifications proposées au nouvel ALENA. Ce nouvel accord va préserver et créer des emplois, favoriser la croissance des entreprises et protéger l’environnement dans les trois pays. Détails : http://bit.ly/2sjG6Yu",2019-12-11
"Nancy Pelosi’s District in California has rapidly become one of the worst anywhere in the U.S. when it come to the homeless & crime. It has gotten so bad, so fast - she has lost total control and, along with her equally incompetent governor, Gavin Newsom, it is a very sad sight!",2019-12-26,"Sean, my thoughts are with you and Sarah. Sending you both all my love and support during this difficult time.",2019-12-11
"Brad Blakeman “I happen to believe as a lawyer that the charges are defective, they don’t meet the Constitutional standard of high crimes and misdemeanors, so I would like to see a Motion to Dismiss. At least 51 Republican Senators would agree with that-there should be no trial.”",2019-12-26,"Hardworking women and men in Alberta are facing tough times. I sat down with Premier @jkenney today to talk about getting our resources to new markets, growing the economy, and creating more jobs.",2019-12-11
"The Radical Left, Do Nothing Democrats said they wanted to RUSH everything through to the Senate because “President Trump is a threat to National Security” (they are vicious, will say anything!), but now they don’t want to go fast anymore, they want to go very slowly. Liars!",2019-12-26,"Les travailleurs de l’Alberta traversent une période difficile. J’ai discuté avec le premier ministre @jkenney des moyens d’acheminer nos ressources vers de nouveaux marchés, de faire croître l’économie et de créer plus d’emplois.",2019-12-11
"“Look, the House is supposed to do all of this work on witnesses and documents BEFORE they send the articles over to the Senate, not to call in new witnesses, go through new documents - that work is supposed to be done in the House.” @KatiePavlich @foxandfriends",2019-12-26,"Health care, electrification, and immigration – a few of the issues that were on the agenda for my meeting with Nova Scotia Premier @StephenMcNeil. Thanks for the discussion today, Stephen – we’ll keep in touch on these and more.",2019-12-10
"...& overwhelming,” but this Scam Impeachment was neither. Also, very unfair with no Due Process, proper representation, or witnesses. Now Pelosi is demanding everything the Republicans weren’t allowed to have in the House. Dems want to run majority Republican Senate. Hypocrites!",2019-12-26,"J’ai rencontré le premier ministre de la Nouvelle-Écosse @StephenMcNeil aujourd’hui pour parler notamment des soins de santé, de l’électrification et de l’immigration. Merci pour la discussion, Stephen. On restera en contact pour aborder ces sujets et bien d’autres.",2019-12-10
"Why should Crazy Nancy Pelosi, just because she has a slight majority in the House, be allowed to Impeach the President of the United States? Got ZERO Republican votes, there was no crime, the call with Ukraine was perfect, with “no pressure.” She said it must be “bipartisan...",2019-12-26,"This week, our future innovators, entrepreneurs, computer scientists (& more!) are learning all about coding in classrooms across Canada. #CLCWeek isn’t just about learning to code – it’s about gaining the knowledge &amp; skills to succeed. Learn more here ",2019-12-10
Wow. It’s all a giant SCAM!,2019-12-25,"Cette semaine, nos futurs innovateurs, entrepreneurs, informaticiennes (et autres!) apprennent le codage en classe, partout au Canada. Pendant la Semaine #CanadaEnProgrammation, on n’apprend pas juste à coder, on apprend aussi à réussir. Plus d’info ",2019-12-10
Thank you Tammy. You are doing a GREAT job!,2019-12-25,"Great news for Canadians, Americans, and Mexicans: all 3 countries have signed an agreement on amendments to the new NAFTA. We’re one step closer to full ratification, expanded trade, and more jobs & opportunities.",2019-12-10
"Governor Gavin N has done a really bad job on taking care of the homeless population in California. If he can’t fix the problem, the Federal Govt. will get involved!",2019-12-25,"Bonne nouvelle pour les Canadiens, les Américains et les Mexicains : les trois pays ont signé un accord pour modifier le nouvel ALENA. On se rapproche de la ratification, qui permettra de stimuler le commerce et de créer plus d'emplois et d’opportunités.",2019-12-10
"2019 HOLIDAY RETAIL SALES WERE UP 3.4% FROM LAST YEAR, THE BIGGEST NUMBER IN U.S. HISTORY. CONGRATULATIONS AMERICA!",2019-12-25,"With an agreement on amendments signed, we’re even closer to implementing the new NAFTA. I spoke with President @lopezobrador_ today about how it’s going to help people in Canada and Mexico. Read more on our call:",2019-12-10
